fold,doc_offset,corpus_span,corpus_ent_type,error_type,correct_span,correct_ent_type,notes
dev,148,"[816, 832): 'EASTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
dev,148,"[228, 244): 'EASTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
dev,148,"[376, 392): 'CENTRAL DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
dev,148,"[514, 530): 'WESTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
dev,148,"[1112, 1128): 'WESTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
dev,149,"[81, 93): 'Major League'",MISC,Sentence,"[81, 102): 'Major League Baseball'",MISC,"Sentence boundary between ""League"" and ""Baseball"""
dev,149,,,Missing,"[94, 102): 'Baseball'",MISC,"Sentence boundary between ""League"" and ""Baseball"""
dev,150,"[2463, 2470): 'Chicago'",LOC,Tag,"[2463, 2470): 'Chicago'",ORG,Baseball team
dev,150,"[2533, 2540): 'Atlanta'",LOC,Tag,"[2533, 2540): 'Atlanta'",ORG,Atlanta Braves
dev,150,"[3115, 3123): 'Montreal'",LOC,Tag,"[3115, 3123): 'Montreal'",ORG,Baseball team
dev,150,"[3142, 3150): 'Montreal'",LOC,Tag,"[3142, 3150): 'Montreal'",ORG,Baseball team
dev,150,"[101, 104): 'ERA'",MISC,Wrong,,,
dev,150,"[40, 43): 'ERA'",MISC,Wrong,,,
dev,150,"[164, 167): 'RBI'",MISC,Wrong,,,Runs batted in
dev,150,"[3709, 3712): 'RBI'",MISC,Wrong,,,Runs batted in
dev,150,"[3953, 3956): 'RBI'",MISC,Wrong,,,Runs batted in
dev,150,"[4459, 4462): 'RBI'",MISC,Wrong,,,Runs batted in
dev,150,"[4617, 4620): 'RBI'",MISC,Wrong,,,Runs batted in
dev,152,,,Missing,"[41, 44): 'WBO'",ORG,
dev,153,"[100, 107): 'Austria'",LOC,Tag,"[100, 107): 'Austria'",ORG,Soccer team
dev,153,,,Missing,"[1465, 1470): 'Scots'",MISC,
dev,153,"[163, 171): 'Scotland'",LOC,Tag,"[163, 171): 'Scotland'",ORG,Soccer team
dev,153,"[1651, 1658): 'Austria'",LOC,Tag,"[1651, 1658): 'Austria'",ORG,Soccer team
dev,153,"[1890, 1898): 'Scotland'",LOC,Tag,"[1890, 1898): 'Scotland'",ORG,Soccer team
dev,153,"[19, 26): 'AUSTRIA'",LOC,Tag,"[19, 26): 'AUSTRIA'",ORG,Soccer team
dev,153,"[307, 315): 'Scotland'",LOC,Tag,"[307, 315): 'Scotland'",ORG,Soccer team
dev,153,"[330, 337): 'Belarus'",LOC,Tag,"[330, 337): 'Belarus'",ORG,Soccer team
dev,153,"[36, 44): 'SCOTLAND'",LOC,Tag,"[36, 44): 'SCOTLAND'",ORG,Soccer team
dev,153,"[418, 425): 'Austria'",LOC,Tag,"[418, 425): 'Austria'",ORG,Soccer team
dev,153,"[786, 794): 'Scotland'",LOC,Tag,"[786, 794): 'Scotland'",ORG,Soccer team
dev,153,"[886, 894): 'Scotland'",LOC,Tag,"[886, 894): 'Scotland'",ORG,Soccer team
dev,155,"[1572, 1578): 'France'",LOC,Tag,"[1572, 1578): 'France'",ORG,Soccer team
dev,155,"[181, 187): 'France'",LOC,Tag,"[181, 187): 'France'",ORG,Soccer team
dev,155,"[19, 25): 'FRANCE'",LOC,Tag,"[19, 25): 'FRANCE'",ORG,
dev,155,"[1924, 1930): 'Mexico'",LOC,Tag,"[1924, 1930): 'Mexico'",ORG,Soccer team
dev,155,"[193, 199): 'Mexico'",LOC,Tag,"[193, 199): 'Mexico'",ORG,Soccer team
dev,155,"[280, 286): 'France'",LOC,Tag,"[280, 286): 'France'",ORG,Soccer team
dev,155,"[744, 750): 'France'",LOC,Tag,"[744, 750): 'France'",ORG,Soccer team
dev,155,"[842, 848): 'France'",LOC,Tag,"[842, 848): 'France'",ORG,Soccer team
dev,156,"[19, 25): 'FRANCE'",LOC,Tag,"[19, 25): 'FRANCE'",ORG,
dev,156,"[31, 37): 'MEXICO'",LOC,Tag,"[31, 37): 'MEXICO'",ORG,Soccer team
dev,156,"[72, 78): 'France'",LOC,Tag,"[72, 78): 'France'",ORG,Soccer team
dev,156,"[84, 90): 'Mexico'",LOC,Tag,"[84, 90): 'Mexico'",ORG,Soccer team
dev,157,"[102, 109): 'Belgium'",LOC,Tag,"[102, 109): 'Belgium'",ORG,Soccer team
dev,157,"[1223, 1229): 'Turkey'",LOC,Tag,"[1223, 1229): 'Turkey'",ORG,Soccer team
dev,157,"[1656, 1663): 'Belgium'",LOC,Tag,"[1656, 1663): 'Belgium'",ORG,Soccer team
dev,157,"[1897, 1904): 'Belgium'",LOC,Tag,"[1897, 1904): 'Belgium'",ORG,Soccer team
dev,157,"[19, 26): 'BELGIUM'",LOC,Tag,"[19, 26): 'BELGIUM'",ORG,Soccer team
dev,157,"[194, 200): 'Turkey'",LOC,Tag,"[194, 200): 'Turkey'",ORG,Soccer team
dev,157,"[2039, 2046): 'Belgium'",LOC,Tag,"[2039, 2046): 'Belgium'",ORG,Soccer team
dev,157,"[2339, 2345): 'Turkey'",LOC,Tag,"[2339, 2345): 'Turkey'",ORG,Soccer team
dev,157,"[2852, 2859): 'Belgium'",LOC,Tag,"[2852, 2859): 'Belgium'",ORG,Soccer team
dev,157,"[2929, 2935): 'Russia'",LOC,Tag,"[2929, 2935): 'Russia'",ORG,Soccer team
dev,157,"[2940, 2945): 'Italy'",LOC,Tag,"[2940, 2945): 'Italy'",ORG,Soccer team
dev,157,"[39, 45): 'TURKEY'",LOC,Tag,"[39, 45): 'TURKEY'",ORG,Soccer team
dev,157,"[905, 912): 'Belgium'",LOC,Tag,"[905, 912): 'Belgium'",ORG,Soccer team
dev,158,"[120, 128): 'division'",MISC,Wrong,,,
dev,159,"[114, 122): 'division'",MISC,Wrong,,,
dev,160,"[100, 106): 'Turkey'",LOC,Tag,"[100, 106): 'Turkey'",ORG,Soccer team
dev,160,"[19, 26): 'BELGIUM'",LOC,Tag,"[19, 26): 'BELGIUM'",ORG,Soccer team
dev,160,"[192, 199): 'Belgium'",LOC,Tag,"[192, 199): 'Belgium'",ORG,Soccer team
dev,160,"[243, 249): 'Turkey'",LOC,Tag,"[243, 249): 'Turkey'",ORG,Soccer team
dev,160,"[32, 38): 'TURKEY'",LOC,Tag,"[32, 38): 'TURKEY'",ORG,Soccer team
dev,160,"[87, 94): 'Belgium'",LOC,Tag,"[87, 94): 'Belgium'",ORG,Soccer team
dev,161,"[104, 112): 'Scotland'",LOC,Tag,"[104, 112): 'Scotland'",ORG,Soccer team
dev,161,"[19, 26): 'AUSTRIA'",LOC,Tag,"[19, 26): 'AUSTRIA'",ORG,Soccer team
dev,161,"[41, 49): 'SCOTLAND'",LOC,Tag,"[41, 49): 'SCOTLAND'",ORG,Soccer team
dev,161,"[92, 99): 'Austria'",LOC,Tag,"[92, 99): 'Austria'",ORG,Soccer team
dev,163,"[124, 130): 'Brazil'",LOC,Tag,"[124, 130): 'Brazil'",ORG,Fred: National soccer team
dev,163,"[190, 201): 'Netherlands'",LOC,Tag,"[190, 201): 'Netherlands'",ORG,Fred: National soccer team
dev,163,"[256, 262): 'Brazil'",LOC,Tag,"[256, 262): 'Brazil'",ORG,Fred: National soccer team
dev,163,"[39, 45): 'BRAZIL'",LOC,Tag,"[39, 45): 'BRAZIL'",ORG,Soccer team
dev,163,"[94, 109): 'The Netherlands'",LOC,Tag,"[94, 109): 'The Netherlands'",ORG,Soccer team
dev,165,"[25, 45): 'TATTERSALLS BREEDERS'",MISC,Span,"[25, 52): 'TATTERSALLS BREEDERS STAKES'",MISC,
dev,165,"[25, 45): 'TATTERSALLS BREEDERS'	",MISC,Span,"[25, 52): 'TATTERSALLS BREEDERS STAKES'	",,
dev,165,"[114, 120): 'Stakes'",MISC,Sentence,"[93, 120): 'Tattersalls Breeders Stakes'",,
dev,165,"[93, 113): 'Tattersalls Breeders'",MISC,Sentence,"[93, 120): 'Tattersalls Breeders Stakes'",MISC,
dev,165,"[114, 120): 'Stakes' ",MISC,Sentence,,,
dev,166,"[163, 172): 'World Cup'",MISC,Span,"[158, 172): '1998 World Cup'",MISC,"[45, 59): '1998 WORLD CUP' tagged MISC in article title"
dev,170,"[1363, 1373): 'Red Shirts'",MISC,Tag,"[1363, 1373): 'Red Shirts'",ORG,"""1860- Giuseppe Garibaldi leading his "" Red Shirts "" seized Naples in the Italian war of liberation against the Austrians"""
dev,170,"[488, 494): 'Eugene'",ORG,Tag,"[488, 494): 'Eugene'",PER,
dev,172,,,Missing,"[969, 982): 'Conservatives'",MISC,Members of the Conservative party
dev,175,"[252, 264): 'London-based'",MISC,Token,"[252, 258): 'London'",LOC,
dev,178,,,Missing,"[105, 115): 'Afrikaners'",MISC,
dev,178,"[105, 115): 'Afrikaners'",,Missing,,MISC,
dev,180,"[687, 699): 'Bosnian Serb'",MISC,Both,"[687, 708): 'Bosnian Serb republic'",LOC,Fred: Appears to be a reference to https://en.wikipedia.org/wiki/Republika_Srpska
dev,181,"[1761, 1774): 'Moscow-backed'",MISC,Token,"[1761, 1767): 'Moscow'",LOC,I think this needs to be seperated
dev,182,"[662, 670): 'division'",MISC,Wrong,,,
dev,185,"[54, 62): 'SANTIAGO'",PER,Tag,"[54, 62): 'SANTIAGO'",LOC,
dev,191,"[1031, 1037): 'Korean'",MISC,Span,"[1031, 1041): 'Korean War'",MISC,
dev,191,"[660, 666): 'Korean'",MISC,Span,"[660, 670): 'Korean War'",MISC,
dev,194,"[537, 544): 'Chinese'",MISC,Both,"[537, 556): 'Chinese Nationalist'",ORG,Kuomintang party
dev,194,"[537, 544): 'Chinese'",MISC,Span,"[537, 556): 'Chinese Nationalist'",,"Reference to KMT party, used as an adjective"
dev,198,"[39, 47): 'aid-U.N.'",MISC,Token,"[43, 47): 'U.N.'",ORG,
dev,199,,,Missing,"[106, 122): 'Turkish-operated'",MISC,
dev,199,"[139, 147): 'Bahraini'",LOC,Tag,"[139, 147): 'Bahraini'",MISC,
dev,199,"[39, 47): 'Bahraini'",LOC,Tag,"[39, 47): 'Bahraini'",MISC,
dev,200,,,Missing,"[1241, 1255): 'KDP-controlled'",MISC,
dev,204,"[160, 171): 'Lilac Falls'",LOC,Span,"[160, 177): 'Lilac Falls Motel'",LOC,
dev,206,"[2266, 2273): 'Marines'",MISC,Tag,"[2266, 2273): 'Marines'",ORG,branch of millitary
dev,206,"[458, 471): 'Mediterranean'",MISC,Tag,"[458, 471): 'Mediterranean'",LOC,"""Enterprise was in the eastern Mediterranean"""
dev,211,,,Missing,"[11, 15): 'Nato'",ORG,
dev,214,"[1643, 1648): 'Oscar'",PER,Tag,"[1643, 1648): 'Oscar'",MISC,
dev,214,,,Missing,"[75, 81): 'VENICE'",LOC,
test,0,"[1072, 1077): 'Syria'",LOC,Tag,"[1072, 1077): 'Syria'",ORG,Soccer team
test,0,"[118, 123): 'Japan'",LOC,Tag,"[118, 123): 'Japan'",ORG,Soccer team
test,0,"[1328, 1333): 'Syria'",LOC,Tag,"[1328, 1333): 'Syria'",ORG,Soccer team
test,0,"[1528, 1533): 'Syria'",LOC,Tag,"[1528, 1533): 'Syria'",ORG,Soccer team
test,0,"[19, 24): 'JAPAN'",LOC,Tag,"[19, 24): 'JAPAN'",ORG,Soccer team
test,0,"[196, 201): 'Syria'",LOC,Tag,"[196, 201): 'Syria'",ORG,Soccer team
test,0,"[249, 254): 'China'",LOC,Tag,"[249, 254): 'China'",ORG,Soccer team
test,0,"[375, 380): 'China'",LOC,Tag,"[375, 380): 'China'",ORG,Soccer team
test,0,"[40, 45): 'CHINA'",PER,Tag,"[40, 45): 'CHINA'",LOC,
test,0,"[875, 885): 'Uzbekistan'",LOC,Tag,"[875, 885): 'Uzbekistan'",ORG,Soccer team
test,0,"[982, 987): 'Japan'",LOC,Tag,"[982, 987): 'Japan'",ORG,Soccer team
test,1,"[148, 156): 'Scotland'",LOC,Tag,"[148, 156): 'Scotland'",ORG,Rugby team
test,1,"[42, 47): 'ITALY'",LOC,Tag,"[42, 47): 'ITALY'",ORG,Rugby team
test,1,"[431, 438): 'England'",LOC,Tag,"[431, 438): 'England'",ORG,Rugby team
test,1,"[586, 593): 'England'",LOC,Tag,"[586, 593): 'England'",ORG,Rugby team
test,1,"[750, 755): 'Italy'",LOC,Tag,"[750, 755): 'Italy'",ORG,Rugby team
test,1,"[772, 779): 'England'",LOC,Tag,"[772, 779): 'England'",ORG,Rugby team
test,1,"[78, 83): 'Italy'",LOC,Tag,"[78, 83): 'Italy'",ORG,Rugby team
test,1,"[11, 22): 'RUGBY UNION'",ORG,Wrong,,,Generic description of rugby; see https://en.wikipedia.org/wiki/Rugby_union
test,2,"[1121, 1126): 'Japan'",LOC,Tag,"[1121, 1126): 'Japan'",ORG,Soccer team
test,2,"[1273, 1278): 'Japan'",LOC,Tag,"[1273, 1278): 'Japan'",ORG,Soccer team
test,2,"[144, 149): 'Japan'",LOC,Tag,"[144, 149): 'Japan'",ORG,Soccer team
test,2,"[1547, 1552): 'Syria'",LOC,Tag,"[1547, 1552): 'Syria'",ORG,Soccer team
test,2,"[192, 197): 'Syria'",LOC,Tag,"[192, 197): 'Syria'",ORG,Soccer team
test,2,"[35, 40): 'JAPAN'",LOC,Tag,"[35, 40): 'JAPAN'",ORG,Soccer team 
test,2,"[50, 55): 'SYRIA'",LOC,Tag,"[50, 55): 'SYRIA'",ORG,Soccer team
test,2,"[597, 602): 'Syria'",LOC,Tag,"[597, 602): 'Syria'",ORG,Soccer team
test,2,"[791, 796): 'Japan'",LOC,Tag,"[791, 796): 'Japan'",ORG,Soccer team
test,3,"[21, 37): 'SKIING-WORLD CUP'",MISC,Token,"[28, 37): 'WORLD CUP'",MISC,
test,4,"[141, 146): 'Japan'",LOC,Tag,"[141, 146): 'Japan'",ORG,
test,4,"[149, 154): 'Syria'",LOC,Tag,"[149, 154): 'Syria'",ORG,
test,4,"[181, 186): 'Japan'",LOC,Tag,"[181, 186): 'Japan'",ORG,Soccer team
test,4,"[232, 237): 'Syria'",LOC,Tag,"[232, 237): 'Syria'",ORG,Soccer team
test,4,"[276, 281): 'China'",LOC,Tag,"[276, 281): 'China'",ORG,Soccer team
test,4,"[284, 294): 'Uzbekistan'",,Tag,"[284, 294): 'Uzbekistan'",ORG,Soccer team
test,4,"[462, 472): 'Uzbekistan'",LOC,Tag,"[462, 472): 'Uzbekistan'",ORG,Soccer team
test,4,"[487, 492): 'Japan'",LOC,Tag,"[487, 492): 'Japan'",ORG,
test,4,"[507, 512): 'Syria'",LOC,Tag,"[507, 512): 'Syria'",ORG,
test,4,"[507, 512): 'Syria'	",LOC,Tag,"[507, 512): 'Syria'	",ORG,Soccer team
test,4,"[527, 532): 'China'",LOC,Tag,"[527, 532): 'China'",ORG,Soccer team
test,5,"[20, 28): 'PAKISTAN'",LOC,Tag,"[20, 28): 'PAKISTAN'",ORG,Cricket team
test,5,"[213, 221): 'Pakistan'",LOC,Tag,"[213, 221): 'Pakistan'",ORG,team
test,5,"[31, 42): 'NEW ZEALAND'",LOC,Tag,"[31, 42): 'NEW ZEALAND'",ORG,cricket team
test,6,"[111, 114): 'Cup'",MISC,Sentence,"[88, 114): 'English F.A. Challenge Cup'",MISC,
test,10,"[11, 22): 'RUGBY UNION'",ORG,Wrong,,,Generic description of a sport https://en.wikipedia.org/wiki/Rugby_union
test,11,"[495, 503): 'Desvonde'",PER,Sentence,"[495, 509): 'Desvonde Botes'",PER,
test,12,"[181, 190): 'Macedonia'",LOC,Tag,"[181, 190): 'Macedonia'",ORG,Soccer team
test,12,"[402, 411): 'Macedonia'",LOC,Tag,"[402, 411): 'Macedonia'",ORG,Soccer team
test,12,"[51, 60): 'MACEDONIA'",LOC,Tag,"[51, 60): 'MACEDONIA'",ORG,Soccer team
test,12,"[83, 90): 'Romania'",LOC,Tag,"[83, 90): 'Romania'",ORG,Soccer team
test,15,"[1241, 1250): 'Australia'",LOC,Tag,"[1241, 1250): 'Australia'",ORG,"Australian cricket team: ""Australia won by five wickets."""
test,15,"[149, 158): 'Australia'",LOC,Tag,"[149, 158): 'Australia'",ORG,Cricket team
test,15,"[163, 174): 'West Indies'",LOC,Tag,"[163, 174): 'West Indies'",ORG,Cricket team
test,15,"[186, 197): 'West Indies'",LOC,Tag,"[186, 197): 'West Indies'",ORG,Cricket team
test,15,"[20, 29): 'AUSTRALIA'",LOC,Tag,"[20, 29): 'AUSTRALIA'",ORG,Cricket team
test,15,"[32, 43): 'WEST INDIES'",LOC,Tag,"[32, 43): 'WEST INDIES'",ORG,Cricket team
test,15,"[748, 757): 'Australia'",LOC,Tag,"[748, 757): 'Australia'",ORG,Cricket team
test,16,"[100, 111): 'West Indies'",LOC,Tag,"[100, 111): 'West Indies'",ORG,Cricket team
test,16,"[20, 29): 'AUSTRALIA'",LOC,Tag,"[20, 29): 'AUSTRALIA'",ORG,Cricket team
test,16,"[217, 228): 'West Indies'",LOC,Tag,"[217, 228): 'West Indies'",ORG,Cricket team
test,16,"[284, 293): 'Australia'",LOC,Tag,"[284, 293): 'Australia'",ORG,Cricket team
test,16,"[35, 46): 'WEST INDIES'",LOC,Tag,"[35, 46): 'WEST INDIES'",ORG,Cricket team
test,16,"[85, 94): 'Australia'",LOC,Tag,"[85, 94): 'Australia'",ORG,Cricket team
test,17,"[188, 197): 'Australia'",LOC,Tag,"[188, 197): 'Australia'",ORG,Cricket team
test,17,"[20, 31): 'WEST INDIES'",LOC,Tag,"[20, 31): 'WEST INDIES'",ORG,Cricket team
test,17,"[60, 69): 'AUSTRALIA'",LOC,Tag,"[60, 69): 'AUSTRALIA'",ORG,Cricket team
test,17,"[92, 103): 'West Indies'",LOC,Tag,"[92, 103): 'West Indies'",ORG,Cricket team
test,18,"[143, 151): 'Tasmania'",LOC,Tag,"[143, 151): 'Tasmania'",ORG,Cricket team
test,18,"[156, 164): 'Victoria'",LOC,Tag,"[156, 164): 'Victoria'",ORG,Cricket team
test,18,"[194, 202): 'Tasmania'",LOC,Tag,"[194, 202): 'Tasmania'",ORG,Cricket team
test,18,"[20, 36): 'SHEFFIELD SHIELD'",MISC,Tag,"[20, 36): 'SHEFFIELD SHIELD'",ORG,Cricket team
test,20,"[20, 31): 'WEST INDIES'",LOC,Tag,"[20, 31): 'WEST INDIES'",ORG,Cricket team
test,20,"[230, 239): 'Australia'",LOC,Tag,"[230, 239): 'Australia'",ORG,Cricket team
test,20,"[247, 256): 'Melbourne'",LOC,Span,"[247, 271): 'Melbourne Cricket Ground'",LOC,
test,20,"[290, 299): 'Australia'",LOC,Tag,"[290, 299): 'Australia'",ORG,Cricket team
test,20,"[482, 493): 'West Indies'",LOC,Tag,"[482, 493): 'West Indies'",ORG,Cricket team
test,20,"[84, 95): 'West Indies'",LOC,Tag,"[84, 95): 'West Indies'",ORG,Cricket team
test,21,"[719, 725): 'Wijaya'",PER,Sentence,"[713, 725): 'Indra Wijaya'",PER,
test,22,"[19, 23): 'ARAB'",MISC,Both,"[19, 35): 'ARAB CONTRACTORS'",ORG,
test,22,,,Missing,"[299, 310): 'Contractors'",ORG,
test,22,"[299, 310): 'Contractors'",,Missing,,ORG,"short for ""Arab Contractors"""
test,23,"[1098, 1105): 'BUFFALO'",LOC,Tag,"[1098, 1105): 'BUFFALO'",ORG,
test,23,"[1142, 1152): 'WASHINGTON'",LOC,Tag,"[1142, 1152): 'WASHINGTON'",ORG,Hockey team
test,23,"[1153, 1161): 'MONTREAL'",ORG,Tag,"[1153, 1161): 'MONTREAL'",ORG,
test,23,"[1165, 1172): 'CHICAGO'",LOC,Tag,"[1165, 1172): 'CHICAGO'",ORG,Hockey team
test,23,"[1189, 1195): 'DALLAS'",LOC,Tag,"[1189, 1195): 'DALLAS'",ORG,Hockey team
test,23,"[1208, 1216): 'COLORADO'",LOC,Tag,"[1208, 1216): 'COLORADO'",ORG,Hockey team
test,23,"[1227, 1235): 'EDMONTON'",LOC,Tag,"[1227, 1235): 'EDMONTON'",ORG,Hockey team
test,23,"[628, 637): 'TAMPA BAY'",ORG,Tag,"[628, 637): 'TAMPA BAY'",ORG,
test,23,"[94, 109): 'National Hockey'",ORG,Sentence,"[94, 116): 'National Hockey League'",MISC,
test,23,"[110, 116): 'League'",ORG,Sentence,"[94, 116): 'National Hockey League'",,"Sentence boundary between ""Hockey"" and ""League"""
test,23,"[673, 689): 'CENTRAL DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
test,24,"[211, 226): 'National Hockey'",ORG,Sentence,"[211, 233): 'National Hockey League'",MISC,
test,24,"[227, 233): 'League'",ORG,Sentence,"[211, 233): 'National Hockey League'",,"Sentence boundary between ""Hockey"" and ""League"""
test,25,"[11, 14): 'NFL'",ORG,Tag,"[11, 14): 'NFL'",MISC,Leagues should be tagged MISC
test,25,"[1595, 1598): 'NFL'",ORG,Tag,"[1595, 1598): 'NFL'",MISC,Leagues should be tagged MISC
test,25,"[1748, 1760): 'Philadelphia'",LOC,Tag,"[1748, 1760): 'Philadelphia'",ORG,Philadelphia Eagles
test,25,"[24, 38): 'FOOTBALL-COLTS'",,Token,"[33, 38): 'COLTS'",ORG,"Missing entity inside bad token ""FOOTBALL-COLTS"""
test,25,"[823, 835): 'Philadelphia'",LOC,Tag,"[823, 835): 'Philadelphia'",ORG,Philadelphia Eagles
test,26,"[1042, 1048): 'BOSTON'",LOC,Tag,"[1042, 1048): 'BOSTON'",ORG,Boston basketball team
test,26,"[1062, 1069): 'DETROIT'",LOC,Tag,"[1062, 1069): 'DETROIT'",ORG,basketball team
test,26,"[1082, 1087): 'MIAMI'",LOC,Tag,"[1082, 1087): 'MIAMI'",ORG,bball team
test,26,"[1099, 1109): 'SACRAMENTO'",LOC,Tag,"[1099, 1109): 'SACRAMENTO'",ORG,baskeball team
test,26,"[1123, 1134): 'SAN ANTONIO'",LOC,Tag,"[1123, 1134): 'SAN ANTONIO'",ORG,Basketball Team
test,26,"[1148, 1152): 'UTAH'",LOC,Tag,"[1148, 1152): 'UTAH'",ORG,basketball team
test,26,"[1166, 1174): 'PORTLAND'",LOC,Tag,"[1166, 1174): 'PORTLAND'",ORG,basketball team
test,26,"[1186, 1198): 'GOLDEN STATE'",LOC,Tag,"[1186, 1198): 'GOLDEN STATE'",ORG,
test,26,"[1210, 1219): 'LA LAKERS'",LOC,Tag,"[1210, 1219): 'LA LAKERS'",ORG,Basketball Team
test,26,"[94, 102): 'National'",ORG,Sentence,"[94, 125): 'National Basketball Association'",MISC,Leagues should be tagged MISC
test,27,"[11, 14): 'NFL'",ORG,Tag,"[11, 14): 'NFL'",MISC,Leagues should be tagged MISC
test,27,"[1250, 1257): 'CHICAGO'",LOC,Tag,"[1250, 1257): 'CHICAGO'",ORG,Football team
test,27,"[1271, 1281): 'CINCINNATI'",LOC,Tag,"[1271, 1281): 'CINCINNATI'",ORG,Football team
test,27,"[1292, 1301): 'GREEN BAY'",LOC,Tag,"[1292, 1301): 'GREEN BAY'",ORG,Football team
test,27,"[1318, 1325): 'HOUSTON'",LOC,Tag,"[1318, 1325): 'HOUSTON'",ORG,football team
test,27,"[1339, 1344): 'MIAMI'",LOC,Tag,"[1339, 1344): 'MIAMI'",ORG,Football team
test,27,"[1356, 1367): 'NEW ORLEANS'",LOC,Tag,"[1356, 1367): 'NEW ORLEANS'",ORG,Football team
test,27,"[1381, 1391): 'PITTSBURGH'",LOC,Tag,"[1381, 1391): 'PITTSBURGH'",ORG,Football team
test,27,"[1406, 1415): 'TAMPA BAY'",LOC,Tag,"[1406, 1415): 'TAMPA BAY'",ORG,Football team
test,27,"[1426, 1433): 'ARIZONA'",LOC,Tag,"[1426, 1433): 'ARIZONA'",ORG,football team
test,27,"[1445, 1456): 'NEW ENGLAND'",LOC,Tag,"[1445, 1456): 'NEW ENGLAND'",ORG,Football team
test,27,"[1468, 1475): 'SEATTLE'",LOC,Tag,"[1468, 1475): 'SEATTLE'",ORG,Football team
test,27,"[1488, 1501): 'SAN FRANCISCO'",LOC,Tag,"[1488, 1501): 'SAN FRANCISCO'",ORG,Football team
test,27,"[1515, 1522): 'DETROIT'",LOC,Tag,"[1515, 1522): 'DETROIT'",ORG,Football team
test,27,"[1557, 1564): 'OAKLAND'",LOC,Tag,"[1557, 1564): 'OAKLAND'",ORG,Football team
test,27,"[208, 216): 'AMERICAN'",MISC,Both,"[208, 236): 'AMERICAN FOOTBALL CONFERENCE'",ORG,CHECK: I think this is a league and not a division 
test,27,"[565, 573): 'X-DENVER'",MISC,Token,"[567, 573): 'DENVER'",ORG,
test,27,"[889, 900): 'Y-GREEN BAY'",MISC,Token,"[891, 900): 'GREEN BAY'",ORG,"split on '-', Y"" is an annotation"""
test,27,"[410, 412): 'PA'",ORG,Wrong,,,Points Allowed
test,28,"[100, 106): 'League'",LOC,Tag,"[100, 106): 'League'",ORG,
test,28,"[11, 14): 'NFL'",ORG,Tag,"[11, 14): 'NFL'",MISC,Leagues should be tagged MISC
test,28,"[82, 90): 'National'",ORG,Sentence,"[82, 106): 'National Football League'",ORG,
test,28,"[91, 99): 'Football'",LOC,Tag,"[91, 99): 'Football'",ORG,
test,29,"[220, 231): 'Rotary Club'",ORG,Span,"[220, 242): 'Rotary Club of Houston'",,
test,29,"[25, 44): 'FOOTBALL-OHIO STATE'",MISC,Token,"[34, 44): 'OHIO STATE'",ORG,
test,29,"[235, 242): 'Houston'",LOC,Wrong,,,
test,31,"[561, 571): 'Schalke 04'",ORG,Span,"[561, 568): 'Schalke'",ORG,
test,32,"[170, 177): 'Jocelyn'",PER,Sentence,"[170, 188): 'Jocelyn Gourvennec'",PER,
test,32,"[178, 188): 'Gourvennec'",PER,Sentence,"[170, 188): 'Jocelyn Gourvennec'",,Sentence boundary between first and last name
test,33,,,Missing,"[151, 159): 'Starbuck'",PER,
test,36,"[349, 358): 'Karlsruhe'",LOC,Tag,"[349, 358): 'Karlsruhe'",ORG,Soccer team
test,36,"[385, 391): 'Dundee'",ORG,Tag,"[385, 391): 'Dundee'",PER,
test,36,"[398, 406): 'Freiburg'",LOC,Tag,"[398, 406): 'Freiburg'",ORG,Soccer team
test,38,"[43, 51): 'PORTUGAL'",LOC,Tag,"[43, 51): 'PORTUGAL'",ORG,Soccer team
test,38,"[99, 104): 'Porto'",ORG,Tag,"[99, 104): 'Porto'",ORG,Soccer team
test,39,"[1011, 1018): 'Popescu'",PER,Sentence,"[1002, 1018): 'Gheorghe Popescu'",PER,
test,39,"[1002, 1010): 'Gheorghe'",PER,Sentence,"[1002, 1018): 'Gheorghe Popescu'",,Sentence boundary between first and last name
test,39,"[1011, 1018): 'Popescu'",PER,Sentence,"[1002, 1018): 'Gheorghe popescu'",,
test,39,"[1093, 1099): 'laPena'",PER,Sentence,"[1085, 1099): 'Ivan de la Pena'",,also token error on 'laPena' → 'la Pena'
test,39,"[1093, 1099): 'laPena'",PER,Sentence,"[1085, 1099): 'Ivan de laPena'",PER,
test,39,"[1121, 1125): 'Luis'",PER,Sentence,"[1121, 1133): 'Luis Enrique'",PER,
test,39,"[1158, 1175): 'AbelardoFernandez'",PER,Token,"[1158, 1175): 'Abelardo Fernandez'",PER,"Missing space between ""Abelardo"" and ""Fernandez""."
test,39,"[1243, 1249): 'Albert'",PER,Sentence,"[1243, 1256): 'Albert Ferrer'",PER,
test,39,"[925, 934): 'Guillermo'",PER,Sentence,"[925, 939): 'Guillermo Amor'",PER,
test,40,"[215, 236): 'Real Madrid-Barcelona'",MISC,Token,"[215, 226): 'Real Madrid'",ORG,
test,40,"[215, 236): 'Real Madrid-Barcelona'",MISC,Token,"[227, 236): 'Barcelona'",ORG,
